cycle,time,cost,violation,msg_count,msg_size,status
1,0.04363518301397562,5489,0,392,0,RUNNING
2,0.08513264590874314,4129,0,776,384,RUNNING
3,0.1237668339163065,3442,0,1160,768,RUNNING
4,0.16895056597422808,3227,0,1544,1152,RUNNING
5,0.2000517569249496,3045,0,1928,1536,RUNNING
6,0.23964942095335573,2436,0,2312,1920,RUNNING
7,0.28991329693235457,2177,0,2696,2304,RUNNING
8,0.32100377895403653,2036,0,3080,2688,RUNNING
9,0.3592829559929669,2015,0,3464,3072,RUNNING
10,0.3975506949936971,1971,0,3848,3456,RUNNING
11,0.43933870701584965,1971,0,4232,3840,RUNNING
12,0.47892925096675754,1948,0,4616,4224,RUNNING
13,0.5134106799960136,1948,0,5000,4608,RUNNING
14,0.5610224839765579,1948,0,5384,4992,RUNNING
15,0.5949833890190348,1948,0,5768,5376,RUNNING
16,0.6316880380036309,1948,0,6152,5760,RUNNING
17,0.6790635900106281,1948,0,6536,6144,RUNNING
18,0.7126091339159757,1948,0,6920,6528,RUNNING
19,0.7611033809371293,1948,0,7304,6912,RUNNING
20,0.7780287539353594,1948,0,7688,7296,RUNNING
20,0.7912163789151236,1948,0,7688,7296,FINISHED
